дата,смена,час,тип_данных,значение,агрегат
2026-01-01,2,15,производительность,37.8,мельница_1
2026-01-01,2,15,производительность,0.0,мельница_2
2026-01-01,2,15,производительность,0.0,мельница_3
2026-01-01,2,15,производительность,35.0,мельница_4
2026-01-01,2,15,производительность,12.113,мельница_5
2026-01-01,2,15,производительность,84.913,всего
2026-01-01,2,15,выпуск_мкр,1.0,МКР
2026-01-01,2,16,производительность,38.6,мельница_1
2026-01-01,2,16,производительность,0.0,мельница_2
2026-01-01,2,16,производительность,0.0,мельница_3
2026-01-01,2,16,производительность,33.0,мельница_4
2026-01-01,2,16,производительность,11.62,мельница_5
2026-01-01,2,16,производительность,83.22,всего
2026-01-01,2,16,выпуск_мкр,2.0,МКР
2026-01-01,2,17,плотность,69.0,мельница_1
2026-01-01,2,17,плотность,51.0,мельница_2
2026-01-01,2,17,плотность,63.0,мельница_4
2026-01-01,2,17,плотность,65.0,мельница_5
2026-01-01,2,17,слив_гидроциклон,43.0,ГЦ_1ст
2026-01-01,2,17,слив_гидроциклон,29.0,ГЦ_2ст
2026-01-01,2,17,сгуститель,17.0,сгуститель_1
2026-01-01,2,17,сгуститель,4.0,сгуститель_2
2026-01-01,2,17,классификатор,53.0,классификатор_1
2026-01-01,2,17,классификатор,48.0,классификатор_5
2026-01-01,2,17,ситовой_анализ,54.0,ГЦ_1ст
2026-01-01,2,17,ситовой_анализ,73.0,ГЦ_2ст
2026-01-01,2,17,производительность,40.3,мельница_1
2026-01-01,2,17,производительность,0.0,мельница_2
2026-01-01,2,17,производительность,0.0,мельница_3
2026-01-01,2,17,производительность,33.0,мельница_4
2026-01-01,2,17,производительность,10.62,мельница_5
2026-01-01,2,17,производительность,83.92,всего
2026-01-01,2,18,производительность,35.0,мельница_1
2026-01-01,2,18,производительность,0.0,мельница_2
2026-01-01,2,18,производительность,0.0,мельница_3
2026-01-01,2,18,производительность,33.0,мельница_4
2026-01-01,2,18,производительность,10.971,мельница_5
2026-01-01,2,18,производительность,78.971,всего
2026-01-01,2,18,выпуск_мкр,1.0,МКР
2026-01-01,2,19,производительность,43.7,мельница_1
2026-01-01,2,19,производительность,0.0,мельница_2
2026-01-01,2,19,производительность,0.0,мельница_3
2026-01-01,2,19,производительность,35.0,мельница_4
2026-01-01,2,19,производительность,11.013,мельница_5
2026-01-01,2,19,производительность,89.71300000000001,всего
2026-01-01,2,20,производительность,40.5,мельница_1
2026-01-01,2,20,производительность,0.0,мельница_2
2026-01-01,2,20,производительность,0.0,мельница_3
2026-01-01,2,20,производительность,34.0,мельница_4
2026-01-01,2,20,производительность,9.611,мельница_5
2026-01-01,2,20,производительность,84.111,всего
2026-01-01,2,20,выпуск_мкр,1.0,МКР
2026-01-01,2,среднее,плотность_ср,69.0,мельница_1
2026-01-01,2,среднее,плотность_ср,52.0,мельница_2
2026-01-01,2,среднее,плотность_ср,63.0,мельница_4
2026-01-01,2,среднее,плотность_ср,66.5,мельница_5
2026-01-01,2,среднее,слив_гидроциклон_ср,44.5,ГЦ_1ст
2026-01-01,2,среднее,слив_гидроциклон_ср,32.5,ГЦ_2ст
2026-01-01,2,среднее,производительность_итого,1018.772,всего
2026-01-01,2,,счетчик_начало,9.0,мельница_1
2026-01-01,2,,счетчик_конец,510645.7,мельница_1
2026-01-01,2,,переработка,511132.9,мельница_1
2026-01-01,2,,счетчик_начало,10.0,мельница_2
2026-01-01,2,,счетчик_конец,810050.111,мельница_2
2026-01-01,2,,переработка,810050.111,мельница_2
2026-01-01,2,,счетчик_начало,11.0,мельница_3
2026-01-01,2,,счетчик_конец,502531.0,мельница_3
2026-01-01,2,,переработка,502926.0,мельница_3
2026-01-01,2,,счетчик_начало,12.0,мельница_4
2026-01-01,2,,счетчик_конец,101.317,мельница_4
2026-01-01,2,,переработка,237.889,мельница_4
2026-01-01,2,,счетчик_начало,13.0,мельница_5
2026-01-01,2,,счетчик_начало,14.0,мельница_6
2026-01-01,2,,загрузка_шаров_диаметр,60.0,мельница_1
2026-01-01,2,,загрузка_шаров_вес,0.2,мельница_1
2026-01-01,2,,загрузка_шаров_примечание,новые,мельница_1
2026-01-01,2,,загрузка_шаров_диаметр,30.0,мельница_2
2026-01-01,2,,загрузка_шаров_вес,0.2,мельница_2
2026-01-01,2,,загрузка_шаров_примечание,новые,мельница_2
2026-01-01,2,,загрузка_шаров_диаметр,60.0,мельница_4
2026-01-01,2,,загрузка_шаров_вес,0.2,мельница_4
2026-01-01,2,,загрузка_шаров_примечание,новые,мельница_4
2026-01-01,2,,загрузка_шаров_диаметр,60.0,мельница_5
2026-01-01,2,,загрузка_шаров_вес,0.1,мельница_5
2026-01-01,2,,загрузка_шаров_примечание,новые,мельница_5
2026-01-01,2,,простой_начало,08:00:00,мельница_3
2026-01-01,2,,простой_конец,20:00:00,мельница_3
2026-01-01,2,,простой_длительность,12 часов,мельница_3
2026-01-01,2,,простой_причина,МШР стоит - ППР.,мельница_3
2026-01-01,2,,мкр_остаток_начало,83.0,МКР
2026-01-01,2,,мкр_выпуск,8.0,МКР
2026-01-01,2,,мкр_остаток_конец,91.0,МКР
2026-01-01,2,21:00,ph,9.12,ГЦ_1
2026-01-01,2,23:00,ph,9.03,ГЦ_1
2026-01-01,2,03:00,ph,9.02,ГЦ_1
2026-01-01,2,05:00,ph,10.34,ГЦ_1
2026-01-01,2,07:00,ph,9.16,ГЦ_1
2026-01-01,2,среднее,ph_ср,9.428333333333333,ГЦ_1
2026-01-02,1,21,производительность,34.0,мельница_1
2026-01-02,1,21,производительность,0.0,мельница_2
2026-01-02,1,21,производительность,0.0,мельница_3
2026-01-02,1,21,производительность,34.0,мельница_4
2026-01-02,1,21,производительность,10.468,мельница_5
2026-01-02,1,21,производительность,78.468,всего
2026-01-02,1,22,производительность,40.0,мельница_1
2026-01-02,1,22,производительность,0.0,мельница_2
2026-01-02,1,22,производительность,0.0,мельница_3
